None; The head without action; the hand without action; the arm without action; the hip without action; the leg without action; the foot without action; No action or a pause in the routine.
Bow; The head tilts forward slightly; the hand hangs loosely at the sides; the arm bends at the elbow; the hip bends forward at the waist; the leg bends at the knees; the foot remains flat on the ground; The act of bending the body or head as a formal gesture of respect.
Brushing Hair; The head tilts slightly forward as he runs the brush through his hair; the hand moves back and forth across the head; the arm moves up and down, following the motion of the brush; the hip is slightly tilted to the side; the leg is slightly bent at the knee; the foot is planted firmly on the ground; Using a brush to groom and style the hair.
Brushing Teeth; The head tilts forward slightly; the hand brings the toothbrush up to the mouth; the arm extends forward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Cleaning the teeth with a toothbrush.
Check Time (from Watch); The head turns to look at the watch; the hand raises the arm to eye level; the arm bends at the elbow to bring the watch closer to the eyes; the hip remains stationary; the leg remains stationary; the foot remains stationary; Looking at a watch to see the current time.
Cheer Up; The head tilts slightly forward; the hand comes up to chest level with palms facing in; the arm elbow is bent and held close to the body; the hip remains stationary; the leg remains stationary; the foot remains stationary; Encouraging or comforting someone to feel happier.
Clapping; The head nods up and down; the hand slaps two palms together; the arm swings up and down; the hip does not move; the leg does not move; the foot does not move; Bringing the hands together repeatedly to express approval or appreciation.
Cross Hands in Front (Say Stop); The head tilts slightly forward; the hand crosses in front of the body at waist level; the arm extends slightly forward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Crossing arms in front of the body to indicate stop or refusal.
Drink Water; The head tilts back slightly; the hand grasps the cup; the arm lifts the cup to the mouth; the hip remains stationary; the leg remains stationary; the foot remains stationary; Consuming water from a glass or bottle.
Drop; The head falls forward; the hands go to the sides; the arms hang down; the hips drop; the legs bend at the knees; the feet come off the ground; Letting something fall or slip from the hands.
Eat Meal/Snack; The head tilts slightly forward; the hand brings food to the mouth; the arm supports the hand; the hip remains stationary; the leg remains stationary; the foot remains stationary; Consuming food, either a meal or a light snack.
Falling; The head hits the ground first; the hand tries to break the fall; the arm bends at the elbow; the hip twists to the side; the leg bends at the knee; the foot turns inward; Losing balance and collapsing to the ground.
Giving Something to Other Person; The head nods slightly; the hand extends out holding the object; the arm supports the hand; the hip moves slightly forward; the leg supports the body; the foot remains stationary; Handing an object to someone else.
Hand Waving; The head nods; the hand waves; the arm swings; the hip sways; the leg shifts; the foot stomps; Moving the hand side to side as a greeting or farewell.
Handshaking; The head nods slightly; the hand grasps the other person's hand firmly and shakes it up and down; the arm extends from the shoulder; the hip remains stationary; the leg remains stationary; the foot remains stationary; Grasping someone's hand as a greeting or agreement.
Hopping (One-Foot Jumping); The head moves up and down; the hand moves up and down; the arm moves up and down; the hip moves up and down; the leg moves up and down; the foot moves up and down; Jumping on one foot repeatedly.
Hugging Other Person; The head tilts to the side to rest on the shoulder; the hand wraps around the waist; the arm hugs close; the hip presses against hip; the leg crosses in front of leg; the foot steps on foot; Embracing someone in a show of affection or comfort.
Jump Up; The head tilts back and the chin points up; the hands come up to the chest; the arms bend at the elbows and the forearms come up; the hips push forward and the legs bend at the knees; the legs push off the ground and the feet come up; the feet land on the ground and the legs bend at the knees; Leaping into the air from a standing position.
Kicking Other Person; The head focuses on the target; the hands are clenched into fists as he prepares to strike; the arm is raised and ready to strike; the hip is cocked and ready to strike; the leg is raised and ready to strike; the foot is raised and ready to strike; Striking someone with the foot.
Kicking Something; The head turns to the direction of the kick; the hands are clenched into fists as he prepares to strike; the arm is raised and ready to strike; the hip is cocked and ready to strike; the leg is raised and ready to strike; the foot is raised and ready to strike; Striking an object with the foot.
Make a Phone Call/Answer Phone; The head tilts slightly forward; the hand brings the phone up to the ear; the arm supports the phone and hand holds it in place; the hip shifts weight to one side; the legs cross at the ankle; the foot taps on the ground as he talks; Using a phone to place or receive a call.
Pat on Back of Other Person; The head tilts slightly forward; the hand comes up from behind and pats; the arm extends and bends at elbow; the hip remains stationary; the leg remains stationary; the foot remains stationary; Gently tapping someone's back as a gesture of approval or comfort.
Pickup; The head tilts slightly forward; the hand reaches down; the arm extends; the hip doesn't move; the leg doesn't move; the foot doesn't move; Lifting something from a lower position.
Playing with Phone/Tablet; The head is looking down at the phone/tablet in hands; the hand holding the phone/tablet; the arm supporting the weight of the phone/tablet; the hip keeping the body upright; the leg keeping the body balanced; the foot keeping the body stable; Using a mobile device for various activities.
Point Finger at the Other Person; The head points in the direction where the finger is pointing; the hand raises and points finger at the other person; the arm extends forward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Directing a finger towards someone, often in accusation or emphasis.
Pointing to Something with Finger; The head turns to look at the thing being pointed at; the hand extends forward and points finger at the thing; the arm extends forward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Indicating an object or direction using a finger.
Punching/Slapping Other Person; The head turns slightly to the side; the hand clenches into a fist; the arm swings forward with force; the hip twists; the leg pivots; the foot stomps forward; Striking someone with a closed fist or open hand.
Pushing Other Person; The head moves forward; the hands extend and push; the arms extend; the hip moves forward; the leg steps forward; the foot pushes against the ground; Applying force to move someone away.
Put on a Hat/Cap; The head tilts slightly forward; the hand holds the hat/cap; the arm lifts the hat/cap; the hip remains stationary; the leg remains stationary; the foot remains stationary; Placing headwear on the head.
Put Something Inside Pocket; The head looks down; the hand holds the object; the arm bends at the elbow; the hip remains stationary; the leg remains stationary; the foot remains stationary; Inserting an object into a pocket.
Reading; The head is focused on the book or screen; the hand holds the book or device; the arm supports the hand; the hip remains stationary; the leg remains stationary; the foot remains stationary; Looking at and comprehending written or printed material.
Rub Two Hands Together; The head tilts slightly forward; the hands are rubbed together; the arms are bent at the elbows; the hip remains stationary; the leg remains stationary; the foot remains stationary; Moving the hands against each other.
Salute; The head is held upright; the hand is raised to the forehead; the arm is bent at the elbow; the hip remains stationary; the leg remains stationary; the foot remains stationary; A gesture of respect, often military in nature, involving raising the hand to the forehead.
Sitting Down; The head remains upright; the hands rest on a surface for support; the arms bend at the elbows; the hip lowers; the legs bend at the knees; the feet support the body's weight; Lowering the body into a sitting position.
Standing Up; The head lifts upwards; the hands press against the surface for support; the arms straighten; the hip rises; the legs straighten at the knees; the feet support the body's weight; Rising from a sitting or squatting position to stand.
Take Off a Hat/Cap; The head tilts slightly forward; the hand holds the hat/cap; the arm lifts the hat/cap; the hip remains stationary; the leg remains stationary; the foot remains stationary; Removing headwear from the head.
Take Off Glasses; The head tilts slightly forward; the hand holds the glasses; the arm lifts the glasses; the hip remains stationary; the leg remains stationary; the foot remains stationary; Removing eyeglasses
Take Off Jacket; The head tilts slightly forward; the hand grabs the jacket; the arm pulls the jacket off the shoulders; the hip remains stationary; the leg remains stationary; the foot remains stationary; Removing a coat or jacket.
Take Out Something from Pocket; The head looks down; the hand reaches into the pocket; the arm bends at the elbow; the hip remains stationary; the leg remains stationary; the foot remains stationary; Removing an object from a pocket.
Taking a Selfie; The head tilts slightly to the side; the hand holds the phone at arm's length; the arm is extended outward; the hip is slightly tilted; the leg is slightly bent at the knee; the foot is planted firmly on the ground; Using a camera or smartphone to take a photo of oneself.
Tear Up Paper; The head looks down at the paper; the hand grips the paper; the arm moves in a tearing motion; the hip remains stationary; the leg remains stationary; the foot remains stationary; Ripping paper into pieces.
Throw; The head looks toward the target; the hand grips the object to be thrown; the arm extends back; the hip twists; the leg pivots; the foot pushes off the ground; Propelling something through the air with force using the hand.
Touch Back (Backache); The head tilts to one side; the hand reaches behind the back; the arm extends backward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Placing a hand on the back, often due to discomfort or pain.
Touch Chest (Stomachache/Heart Pain); The head tilts slightly forward; the hand touches the chest; the arm extends forward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Placing a hand on the chest, indicating stomach or heart pain.
Touch Head (Headache); The head tilts slightly forward; the hand touches the head; the arm extends upward; the hip remains stationary; the leg remains stationary; the foot remains stationary; Placing a hand on the head, indicating a headache.
Touch Neck (Neckache); The head tilts slightly to one side; the hand reaches for the neck; the arm extends to touch the neck; the hip remains stationary; the leg remains stationary; the foot remains stationary; Placing a hand on the neck, indicating neck pain or discomfort.
Typing on a Keyboard; The head is slightly tilted downwards; the hands hover over the keyboard, the fingers press down on the keys; the arms are bent at the elbows; the hips remain stationary; the legs remain stationary; the feet remain stationary; Using a keyboard to enter data or write.
Use a Fan (with Hand or Paper)/Feeling Warm; The head tilts slightly forward; the hand holds the fan or paper; the arm moves back and forth in a fanning motion; the hip remains stationary; the leg remains stationary; the foot remains stationary; Using a handheld fan or a piece of paper to create a breeze for cooling.
Wear Jacket; The head tilts slightly forward; the arms go into the sleeves; the jacket is pulled over the shoulders; the hip remains stationary; the leg remains stationary; the foot remains stationary; Putting on a coat or jacket.
Wear on Glasses; The head tilts slightly forward; the glasses are placed over the ears; the arms of the glasses rest on the nose; the hip remains stationary; the leg remains stationary; the foot remains stationary; Putting on eyeglasses.
Wipe Face; The head tilts slightly forward; the hand moves up to the face; the arm wipes across the face; the hip remains stationary; the leg remains stationary; the foot remains stationary; Using a hand or cloth to clean or dry the face.
Writing; The head is slightly tilted downwards; the hand holds the writing utensil; the arm moves back and forth across the paper; the hip remains stationary; the leg remains stationary; the foot remains stationary;The act of composing text or symbols on a surface, typically paper.
